local_name,room_ass=,EVERTZ ID ,filter=(x),END COMMA
,,,,
local_name=TBD, room_ass=, cmd_io=110, ,
local_name=TBD, room_ass=, cmd_io=111, ,
local_name=AJA KIPRO REC 5A-1, room_ass=, cmd_io=217, filter=(1),
local_name=AJA KIPRO REC 5A-2, room_ass=, cmd_io=219, filter=(1),
local_name=AJA KIPRO REC 5A-3, room_ass=, cmd_io=221, filter=(1),
local_name=BIOCOMM CAPTURE PC 1 SDI INPUT 1, room_ass=, cmd_io=249, filter=(2),
local_name=BIOCOMM CAPTURE PC 1 SDI INPUT 2, room_ass=, cmd_io=250, filter=(2),
local_name=BIOCOMM CAPTURE PC 2 SDI INPUT 1, room_ass=, cmd_io=251, filter=(2),
local_name=BIOCOMM CAPTURE PC 2 SDI INPUT 2, room_ass=, cmd_io=252, filter=(2),
local_name=BIOCOMM CAPTURE PC 3 SDI INPUT 1, room_ass=, cmd_io=253, filter=(2),
local_name=BIOCOMM CAPTURE PC 3 SDI INPUT 2, room_ass=, cmd_io=254, filter=(2),
local_name=BIOCOMM CAPTURE PC 4 SDI INPUT 1, room_ass=, cmd_io=255, filter=(2),
local_name=BIOCOMM CAPTURE PC 4 SDI INPUT 2, room_ass=, cmd_io=256, filter=(2),
local_name=BIOCOMM CAPTURE PC 5 SDI INPUT 1, room_ass=, cmd_io=257, filter=(2),
local_name=BIOCOMM CAPTURE PC 5 SDI INPUT 2, room_ass=, cmd_io=258, filter=(2),
local_name=BIOCOMM CAPTURE PC 6 SDI INPUT 1, room_ass=, cmd_io=259, filter=(2),
local_name=BIOCOMM CAPTURE PC 6 SDI INPUT 2, room_ass=, cmd_io=260, filter=(2),
local_name=BIOCOMM CAPTURE PC 7 SDI INPUT 1, room_ass=, cmd_io=261, filter=(2),
local_name=BIOCOMM CAPTURE PC 7 SDI INPUT 2, room_ass=, cmd_io=262, filter=(2),
local_name=BIOCOMM CAPTURE PC 8 SDI INPUT 1, room_ass=, cmd_io=263, filter=(2),
local_name=BIOCOMM CAPTURE PC 8 SDI INPUT 2, room_ass=, cmd_io=264, filter=(2),
local_name=BIOCOMM CAPTURE PC 9 SDI INPUT 1, room_ass=, cmd_io=265, filter=(2),
local_name=BIOCOMM CAPTURE PC 9 SDI INPUT 2, room_ass=, cmd_io=266, filter=(2),
local_name=BIOCOMM CAPTURE PC 10 SDI INPUT 1, room_ass=, cmd_io=267, filter=(2),
local_name=BIOCOMM CAPTURE PC 10 SDI INPUT 2, room_ass=, cmd_io=268, filter=(2),
local_name=CISCO-SX80-5A-1-CAMERA IN, room_ass=, cmd_io=290, filter=(50),
local_name=CISCO-SX80-5A-1-CONTENT IN, room_ass=, cmd_io=291, filter=(50),
local_name=CISCO-SX80-5A-2-CAMERA IN, room_ass=, cmd_io=293, filter=(51),
local_name=CISCO-SX80-5A-2-CONTENT IN, room_ass=, cmd_io=294, filter=(51),
local_name=CISCO-SX80-5A-3-CAMERA IN, room_ass=, cmd_io=296, filter=(52),
local_name=CISCO-SX80-5A-3-CONTENT IN, room_ass=, cmd_io=297, filter=(52),
local_name=BIOCOMM TRICASTER STATION NORTH, room_ass=, cmd_io=316, filter=(4),
local_name=BIOCOMM TRICASTER STATION SOUTH, room_ass=, cmd_io=317, filter=(4),
local_name=BIOCOMM MATROX REC 1 SDI INPUT, room_ass=, cmd_io=269, filter=(5),
local_name=BIOCOMM MATROX REC 2 SDI INPUT, room_ass=, cmd_io=270, filter=(5),
local_name=BIOCOMM MATROX REC 3 SDI INPUT, room_ass=, cmd_io=271, filter=(5),
local_name=BIOCOMM MATROX REC 4 SDI INPUT, room_ass=, cmd_io=272, filter=(5),
local_name=BIOCOMM MATROX REC 5 SDI INPUT, room_ass=, cmd_io=273, filter=(5),
local_name=BIOCOMM MATROX REC 6 SDI INPUT, room_ass=, cmd_io=274, filter=(5),
local_name=BIOCOMM MATROX REC 7 SDI INPUT, room_ass=, cmd_io=275, filter=(5),
local_name=BIOCOMM MATROX REC 8 SDI INPUT, room_ass=, cmd_io=276, filter=(5),
local_name=BIOCOMM MATROX REC 9 SDI INPUT, room_ass=, cmd_io=277, filter=(5),
local_name=BIOCOMM MATROX REC 10 SDI INPUT, room_ass=, cmd_io=278, filter=(5),
local_name=BIOCOMM-RACK-AUDIO-MONITOR-SDI, room_ass=, cmd_io=239, filter=(6),
local_name=BIOCOMM-RACK-MONITOR-SDI, room_ass=, cmd_io=241, filter=(6),
local_name=BIOCOMM LARGE PREVIEW RIGHT, room_ass=, cmd_io=318, filter=(6),
local_name=BIOCOMM LARGE PREVIEW LEFT, room_ass=, cmd_io=319, filter=(6),
local_name=BIOCOMM TRICASTER-5A-1 INPUT 1, room_ass=, cmd_io=223, filter=(7),
local_name=BIOCOMM TRICASTER-5A-1 INPUT 2, room_ass=, cmd_io=224, filter=(7),
local_name=BIOCOMM TRICASTER-5A-1 INPUT 3, room_ass=, cmd_io=225, filter=(7),
local_name=BIOCOMM TRICASTER-5A-1 INPUT 4, room_ass=, cmd_io=226, filter=(7),
local_name=BIOCOMM TRICASTER-5A-2 INPUT 1, room_ass=, cmd_io=227, filter=(8),
local_name=BIOCOMM TRICASTER-5A-2 INPUT 2, room_ass=, cmd_io=228, filter=(8),
local_name=BIOCOMM TRICASTER-5A-2 INPUT 3, room_ass=, cmd_io=229, filter=(8),
local_name=BIOCOMM TRICASTER-5A-2 INPUT 4, room_ass=, cmd_io=230, filter=(8),
local_name=BIOCOMM NC1 EXPANDER 5A-3 INPUT 1 , room_ass=, cmd_io=231, filter=(9),
local_name=BIOCOMM NC1 EXPANDER 5A-3 INPUT 2, room_ass=, cmd_io=232, filter=(9),
local_name=BIOCOMM NC1 EXPANDER 5A-3 INPUT 3, room_ass=, cmd_io=233, filter=(9),
local_name=BIOCOMM NC1 EXPANDER 5A-3 INPUT 4, room_ass=, cmd_io=234, filter=(9),
local_name=BIOCOMM NC1 EXPANDER 5A-4 INPUT 1, room_ass=, cmd_io=235, filter=(10),
local_name=BIOCOMM NC1 EXPANDER 5A-4 INPUT 2, room_ass=, cmd_io=236, filter=(10),
local_name=BIOCOMM NC1 EXPANDER 5A-4 INPUT 3, room_ass=, cmd_io=237, filter=(10),
local_name=BIOCOMM NC1 EXPANDER 5A-4 INPUT 4, room_ass=, cmd_io=238, filter=(10),
local_name=150pLS-305-LECTERN CONFIDENCE MONITOR, room_ass=, cmd_io=81, filter=(11),
local_name=150pLS-305-LECTERN PC USB VIDEO INPUT, room_ass=, cmd_io=82, filter=(11),
