//KEY (added 2/8)
//local_id=
//	1-20 Displays (Room 640 requires more than 10)

//	31 USB Video
//	32 Cisco Codec Camera
//	33 Cisco Codec Content
//	34 Zoom Room Content (Room 567)
//	35 Zoom Room PC USB Video (Room 567)
//	50 Panel Preview


//ROOM 305
Projector Left North,01,1,,,,,,sony_proj,10.156.26.46,1,,,,5,87,,1,(10+),(9+),,
Projector Right North,01,2,,,,,,sony_proj,10.156.26.47,1,,,,5,89,02925e,1,(12+),(11+),,
Projector Left East,01,3,,,,,,sony_proj,10.156.26.45,1,,,,5,92,,,,,,
Projector Right East,01,4,,,,,,sony_proj,10.156.26.49,1,,,,5,95,,,,,,
Projector Left South,01,5,,,,,,sony_proj,10.156.26.51,1,,,,5,98,,1,(14+),(13+),,
Projector Right South,01,6,,,,,,sony_proj,10.156.26.50,1,,,,5,107,,1,(18+),(17+),,
Projector Left West,01,7,,,,,,sony_proj,10.156.26.48,1,,,,5,96,,,,,,
Projector Right West,01,8,,,,,,sony_proj,10.156.26.44,1,,,,5,90,,,,,,

USB Video,01,31,,,,,,,,,,,,,82,,,,,,

Panel Preview,01,50,,,,,,,,,,,,,81,,,,,,



//ROOM 306
Projector Left North,02,1,,,,,,sony_proj,10.156.26.57,1,,,,5,105,,1,(20+),(19+),,
Projector Right North,02,2,,,,,,sony_proj,10.156.26.58,1,,,,5,101,02925d,1,(22+),(21+),,
Projector Left East,02,3,,,,,,sony_proj,10.156.26.56,1,,,,5,104,,,,,,
Projector Right East,02,4,,,,,,sony_proj,10.156.26.60,1,,,,5,108,,,,,,
Projector Left South,02,5,,,,,,sony_proj,10.156.26.62,1,,,,5,106,,,,,,
Projector Right South,02,6,,,,,,sony_proj,10.156.26.61,1,,,,5,99,,,,,,
Projector Left West,02,7,,,,,,sony_proj,10.156.26.59,1,,,,5,93,,,,,,
Projector Right West,02,8,,,,,,sony_proj,10.156.26.55,1,,,,5,102,,,,,,

USB Video,02,31,,,,,,,,,,,,,85,,,,,,

Panel Preview,02,50,,,,,,,,,,,,,84,,,,,,



//ROOM 320
Projector,03,1,,,,,,sony_proj,10.156.26.63,1,,,,5,143,02802c,6,(2+),(1^10.156.27.181+),,

USB Video,03,31,,,,,,,,,,,,,132,,,,,,

Panel Preview,03,50,,,,,,,,,,,,,131,,,,,,

Aux Feed,03,,8,,1,4,,,,,,,,,,,,,,,
Cisco Codec Camera,03,,,,1,5,,,,,,,,,,,,,,,
Cisco Codec Content,03,,,,1,6,,,,,,,,,,,,,,,


//ROOM 321
Projector Left,04,1,,,,,,sony_proj,10.156.26.65,1,,,,5,145,,6,(4+),(3^10.156.27.182+),,
