//Room 305 
Wireless,01,3,,(8),,,,,,,,,,,38,,,,,,
PC,01,2,,(8),,,,,,,,,,,81,0289c6,,,,,
Laptop,01,1,,(8),,,,,,,,,,,82,0289b8,,,,,

Wide Camera,01,20,,(8),,,,,10.156.26.41,,1,,,,91,,,,,,
Audience Camera,01,21,,(8),,,,,10.156.26.43,,1,,,,88,,,,,,
Presenter Camera,01,22,,(8),,,,,10.156.26.42,,1,,,,97,,,,,,
Floorbox SDI,01,23,,(8),,,,,,,,,,,24,,,,,,


//Room 306
Wireless,02,3,,(9),,,,,,,,,,,39,,,,,,
PC,02,2,,(9),,,,,,,,,,,84,0289d0,,,,,
Laptop,02,1,,(9),,,,,,,,,,,85,0289ca,,,,,

Wide Camera,02,20,,(9),,,,,10.156.26.53,,1,,,,103,,,,,,
Audience Camera,02,21,,(9),,,,,10.156.26.52,,1,,,,94,,,,,,
Presenter Camera,02,22,,(9),,,,,10.156.26.54,,1,,,,100,,,,,,
Floorbox SDI,02,23,,(9),,,,,,,,,,,25,,,,,,


//Room 320
PC,03,2,,(10),,,,,,,,,,,131,0289c0,,,,,
Laptop,03,1,,(10),,,,,,,,,,,132,0289cf,,,,,
Wireless,03,3,,(10),,,,,,,,,,,40,,,,,,

Presenter Camera,03,22,,(10),,,,,10.156.26.64,,1,,,,144,,,,,,


//Room 321
PC,04,2,,(11),,,,,,,,,,,134,0289bb,,,,,
Laptop,04,1,,(11),,,,,,,,,,,135,024970,,,,,
Wireless,04,3,,(11),,,,,,,,,,,41,,,,,,

Audience Camera,04,21,,(11),,,,,10.156.26.67,,1,,,,148,,,,,,
Presenter Camera,04,22,,(11),,,,,10.156.26.68,,1,,,,146,,,,,,


//Room 322
PC,05,2,,(12),,,,,,,,,,,137,0289bd,,,,,
Laptop,05,1,,(12),,,,,,,,,,,138,0289c4,,,,,
Wireless,05,3,,(12),,,,,,,,,,,42,,,,,,

Audience Camera,05,21,,(12),,,,,10.156.26.71,,1,,,,150,,,,,,
Presenter Camera,05,22,,(12),,,,,10.156.26.72,,1,,,,152,,,,,,



//Room 323
PC,06,2,,(13),,,,,,,,,,,140,0289ce,,,,,
Laptop,06,1,,(13),,,,,,,,,,,141,0289cd,,,,,
Wireless,06,3,,(13),,,,,,,,,,,43,,,,,,

Presenter Camera,06,22,,(13),,,,,10.156.26.74,,1,,,,154,,,,,,


//Room 442
PC,07,2,,(14),,,,,,,,,,,180,0289c7,,,,,
Laptop,07,1,,(14),,,,,,,,,,,181,0289d5,,,,,
Wireless,07,3,,(14),,,,,,,,,,,307,,,,,,

Presenter Camera,07,21,,(14),,,,,10.156.26.91,,1,,,,194,,,,,,


//Room 443
PC,08,2,,(15),,,,,,,,,,,177,02496f,,,,,
Laptop,08,1,,(15),,,,,,,,,,,178,0289cc,,,,,
Wireless,08,3,,(15),,,,,,,,,,,306,,,,,,

Presenter Camera,08,21,,(15),,,,,10.156.26.93,,1,,,,192,,,,,,
Audience Camera,08,22,,(15),,,,,10.156.26.94,,1,,,,190,,,,,,



//Room 444
PC,09,2,,(16),,,,,,,,,,,174,0289c5,,,,,
Laptop,09,1,,(16),,,,,,,,,,,175,024978,,,,,
Wireless,09,3,,(16),,,,,,,,,,,305,,,,,,

Presenter Camera,09,21,,(16),,,,,10.156.26.99,,1,,,,186,,,,,,
